"Site","ID","Orig","Origin","Genotype","TL.TP1_cm","TL.TP2_cm","TL.TP3_cm","TL.TP4_cm","Set","Site.Orig","TP1","TP2","TP1.2_days","T1.2_Ext_cm","T1.2_TLE_cm.day","TP3","TP4","TP3.4_days","T3.4_Ext_cm","T3.4_TLE_cm.day"
"SS","S10_N_7","N","Native","AC10",2.998,9.309,9.901,23.661,"SS.AC10.N","SS.N",2021-08-27,2021-12-08,103,6.311,0.0612718446601942,2022-03-27,2022-08-03,129,13.76,0.106666666666667
"SS","S10_N_8","N","Native","AC10",4.199,12.674,11.144,24.156,"SS.AC10.N","SS.N",2021-08-27,2021-12-08,103,8.475,0.0822815533980582,2022-03-27,2022-08-03,129,13.012,0.100868217054264
"SS","S10_T_1","T","Transplant","AC10",16.061,23.002,11.46,24.036,"SS.AC10.T","SS.T",2021-08-27,2021-12-08,103,6.941,0.0673883495145631,2022-03-27,2022-08-03,129,12.576,0.0974883720930233
"SS","S10_T_13","T","Transplant","AC10",27.154,37.42,9.135,25.945,"SS.AC10.T","SS.T",2021-08-27,2021-12-08,103,10.266,0.0996699029126214,2022-03-27,2022-08-03,129,16.81,0.13031007751938
"SS","S10_T_14","T","Transplant","AC10",24.641,34.056,18.83,37.159,"SS.AC10.T","SS.T",2021-08-27,2021-12-08,103,9.415,0.0914077669902913,2022-03-27,2022-08-03,129,18.329,0.142085271317829
"SS","S10_T_17","T","Transplant","AC10",NA,NA,15.704,34.776,"SS.AC10.T","SS.T",NA,NA,NA,NA,NA,2022-03-27,2022-08-03,129,19.072,0.14784496124031
"SS","S10_T_18","T","Transplant","AC10",NA,NA,13.735,33.051,"SS.AC10.T","SS.T",NA,NA,NA,NA,NA,2022-03-27,2022-08-03,129,19.316,0.149736434108527
"SS","S10_T_2","T","Transplant","AC10",9.548,18.501,10.685,18.664,"SS.AC10.T","SS.T",2021-08-27,2021-12-08,103,8.953,0.0869223300970874,2022-03-27,2022-08-03,129,7.979,0.0618527131782946
"SS","S10_T_3","T","Transplant","AC10",3.633,8.608,10.985,27.621,"SS.AC10.T","SS.T",2021-08-27,2021-12-08,103,4.975,0.0483009708737864,2022-03-27,2022-08-03,129,16.636,0.128961240310078
"SS","S10_T_4","T","Transplant","AC10",10.757,19.611,NA,NA,"SS.AC10.T","SS.T",2021-08-27,2021-12-08,103,8.854,0.0859611650485437,NA,NA,NA,NA,NA
"SS","S10_T_5","T","Transplant","AC10",4.119,10.024,NA,NA,"SS.AC10.T","SS.T",2021-08-27,2021-12-08,103,5.905,0.0573300970873786,NA,NA,NA,NA,NA
"SS","S10_T_6","T","Transplant","AC10",2.93,6.715,9.751,25.562,"SS.AC10.T","SS.T",2021-08-27,2021-12-08,103,3.785,0.036747572815534,2022-03-27,2022-08-03,129,15.811,0.122565891472868
"SS","S10_T_7","T","Transplant","AC10",2.183,5.014,7.246,14.703,"SS.AC10.T","SS.T",2021-08-27,2021-12-08,103,2.831,0.0274854368932039,2022-03-27,2022-08-03,129,7.457,0.0578062015503876
"SS","S10_T_8","T","Transplant","AC10",4.552,8.62,10.344,21.662,"SS.AC10.T","SS.T",2021-08-27,2021-12-08,103,4.068,0.039495145631068,2022-03-27,2022-08-03,129,11.318,0.0877364341085271
"SS","S12_N_1","N","Native","AC12",23.635,35.001,10.904,51.38,"SS.AC12.N","SS.N",2021-08-27,2021-12-08,103,11.366,0.110349514563107,2022-03-27,2022-08-03,129,40.476,0.313767441860465
"SS","S12_N_13","N","Native","AC12",83.617,131.594,12.979,31.084,"SS.AC12.N","SS.N",2021-08-27,2021-12-08,103,47.977,0.465796116504854,2022-03-27,2022-08-03,129,18.105,0.140348837209302
"SS","S12_N_14","N","Native","AC12",42.375,58.25,11.152,19.048,"SS.AC12.N","SS.N",2021-08-27,2021-12-08,103,15.875,0.154126213592233,2022-03-27,2022-08-03,129,7.896,0.0612093023255814
"SS","S12_N_15","N","Native","AC12",NA,NA,7.555,31.042,"SS.AC12.N","SS.N",NA,NA,NA,NA,NA,2022-03-27,2022-08-03,129,23.487,0.18206976744186
"SS","S12_N_17","N","Native","AC12",41.543,71.548,12.07,26.079,"SS.AC12.N","SS.N",2021-08-27,2021-12-08,103,30.005,0.291310679611651,2022-03-27,2022-08-03,129,14.009,0.108596899224806
"SS","S12_N_18","N","Native","AC12",17.472,26.441,NA,NA,"SS.AC12.N","SS.N",2021-08-27,2021-12-08,103,8.969,0.0870776699029126,NA,NA,NA,NA,NA
"SS","S12_N_2","N","Native","AC12",21.186,52.278,13.837,25.001,"SS.AC12.N","SS.N",2021-08-27,2021-12-08,103,31.092,0.301864077669903,2022-03-27,2022-08-03,129,11.164,0.0865426356589147
"SS","S12_N_5","N","Native","AC12",31.92,73.533,13.103,26.245,"SS.AC12.N","SS.N",2021-08-27,2021-12-08,103,41.613,0.404009708737864,2022-03-27,2022-08-03,129,13.142,0.101875968992248
"SS","S12_N_6","N","Native","AC12",9.114,18.537,13.406,30.5,"SS.AC12.N","SS.N",2021-08-27,2021-12-08,103,9.423,0.0914854368932039,2022-03-27,2022-08-03,129,17.094,0.132511627906977
